time,CO2_ppm,O2_percent
1763042004.303972,23980,20.67
1763042008.0886216,23970,20.67
1763042013.0886014,23950,20.68
1763042018.0887966,23950,20.67
1763042023.0888126,23940,20.67
1763042028.0887876,23940,20.67
1763042033.0892303,23900,20.67
1763042038.089675,23870,20.67
1763042043.0891213,23800,20.67
1763042048.0890782,23750,20.67
1763042053.089379,23630,20.67
1763042058.089262,23430,20.67
1763042063.0895,23170,20.67
1763042068.0895898,23020,20.67
1763042073.089632,22750,20.67
1763042078.0897493,22540,20.68
1763042083.0899587,22260,20.68
1763042088.09025,22200,20.68
1763042093.090278,22100,20.69
1763042098.0902565,21990,20.69
1763042103.0903957,21960,20.69
1763042108.0904834,22010,20.69
1763042113.094642,21970,20.69
1763042118.0905192,21970,20.69
1763042123.0943155,21970,20.69
1763042128.0905955,21930,20.69
1763042133.0907302,21860,20.7
1763042138.0938327,21830,20.69
