time,CO2_ppm,CO2_2_ppm,O2_percent
1763394377.617125,6990,7110,21.01
1763394382.446097,6660,6910,21.0
1763394387.4462535,6220,6430,20.95
1763394392.4486833,5700,6140,20.93
1763394397.4463074,5460,5750,20.9
1763394402.4464498,5130,5570,20.89
1763394407.446461,5000,5370,20.89
1763394412.4466088,5030,5280,20.89
1763394417.4475029,5100,5200,20.89
1763394422.4467456,5090,5170,20.89
1763394427.4468458,5100,5160,20.89
1763394432.4469628,5100,5160,20.9
1763394437.4469602,5080,5150,20.89
1763394442.447072,5060,5160,21.02
1763394447.4472103,5060,5200,20.97
1763394452.447218,5050,5230,20.91
1763394457.4473646,5060,5260,20.9
1763394462.4474738,5080,5270,20.9
1763394467.4474587,5090,5270,20.89
1763394472.4476094,5060,5270,20.89
1763394477.4476151,5040,5250,20.89
1763394482.4477985,4970,5230,20.9
1763394487.4477482,4950,5200,20.9
1763394492.4479008,4930,5170,20.9
1763394497.448097,4950,5090,20.9
1763394502.4512582,4900,5040,21.04
1763394507.448122,4910,5030,21.0
1763394512.448145,4900,5030,20.95
1763394517.4482932,4890,5020,20.92
1763394522.4482968,4870,5000,20.91
1763394527.4484506,4850,4960,20.91
1763394532.4485145,4850,4920,20.92
1763394537.4485524,4830,4870,20.92
1763394542.4486876,4810,4830,20.92
1763394547.4487166,4770,4770,20.91
1763394552.4487839,4730,4720,20.91
1763394557.4488602,4720,4640,20.92
1763394562.448979,4680,4630,21.04
1763394567.449014,4680,4650,21.02
1763394572.4490833,4650,4650,20.96
1763394577.4492435,4650,4650,20.94
1763394582.4522982,4620,4640,20.94
1763394587.4524608,4610,4630,20.93
1763394592.45251,4580,4610,20.93
1763394597.452539,4560,4590,20.93
1763394602.4526944,4460,4560,20.94
1763394607.4526806,4380,4510,20.93
1763394612.4528322,4370,4420,20.93
1763394617.4528434,4350,4360,20.94
1763394622.4529848,4300,4320,21.05
1763394627.4803689,4270,4330,21.03
1763394632.4530926,4240,4330,20.96
1763394637.5141563,4240,4320,20.95
1763394642.4558482,4210,4300,20.95
1763394647.4534125,4200,4280,20.95
1763394652.4829855,4180,4230,20.95
1763394657.4535012,4120,4210,20.94
1763394662.4536595,4100,4160,20.94
1763394667.4536896,4070,4130,20.95
1763394672.4537718,4060,4060,20.95
1763394677.4539037,4030,4020,20.95
1763394682.4539864,4020,4000,21.08
1763394687.454008,4010,4030,21.05
1763394692.454167,4010,4050,20.99
1763394697.4541934,3980,4060,20.96
1763394702.4542835,3950,4050,20.95
1763394707.4544227,4030,4030,20.95
1763394712.4546134,5420,4010,20.91
1763394717.454841,8580,4010,20.88
1763394722.4548292,10340,4170,20.83
1763394727.4548557,12250,4640,20.82
1763394732.4548008,13310,5560,20.8
1763394737.4549034,14810,6140,20.8
1763394742.4550557,15690,7380,20.88
1763394747.4557106,16850,8520,20.83
1763394752.455236,17460,10390,20.77
1763394757.4566786,18800,11360,20.74
1763394762.455278,18900,12760,20.73
